"","newsid","paper","city","state"
"189",189,"The Berkshire Eagle","Pittsfield","MA"
"190",190,"The Patriot Ledger","Quincy","MA"
"191",191,"Union-News","Springfield","MA"
"192",192,"Telegram & Gazette","Worcester","MA"
"193",193,"The Capital","Annapolis","MD"
"194",194,"The Sun","Baltimore","MD"
"195",195,"The Daily Times","Salisbury","MD"
"196",196,"Kennebec Journal","Augusta","ME"
"197",197,"Bangor Daily News","Bangor","ME"
"198",198,"Portland Press Herald","Portland","ME"
"199",199,"Morning Sentinel","Waterville","ME"
"200",200,"The Ann Arbor News","Ann Arbor","MI"
"201",201,"The Huron Daily Tribune","Bad Axe","MI"
"202",202,"Battle Creek Enquirer","Battle Creek","MI"
"203",203,"The Bay City Times","Bay City","MI"
"204",204,"Detroit Free Press","Detroit","MI"
"205",205,"The Detroit News","Detroit","MI"
"206",206,"The Grand Rapids Press","Grand Rapids","MI"
"207",207,"Jackson Citizen Patriot","Jackson","MI"
"208",208,"Kalamazoo Gazette","Kalamazoo","MI"
"209",209,"The Lansing State Journal","Lansing","MI"
"210",210,"Midland Daily News","Midland","MI"
"211",211,"The Muskegon Chronicle","Muskegon","MI"
"212",212,"Times Herald","Port Huron","MI"
"213",213,"The Saginaw News","Saginaw","MI"
"214",214,"Duluth News Tribune","Duluth","MN"
"215",215,"The Daily Journal","International Falls","MN"
"216",216,"Star Tribune (Newspaper of the Twin Cities)","Minneapolis","MN"
"217",217,"St. Cloud Times","Saint  Cloud","MN"
"218",218,"Saint Paul Pioneer Press","St. Paul","MN"
"219",219,"Columbia Daily Tribune","Columbia","MO"
"220",220,"The Kansas City Star","Kansas City","MO"
"221",221,"St. Joseph News-Press","Saint Joseph","MO"
"222",222,"St. Louis Post-Dispatch","Saint Louis","MO"
"223",223,"Springfield News-Leader","Springfield","MO"
"224",224,"The Sun Herald","Biloxi","MS"
"225",225,"Delta Democrat Times","Greenville","MS"
"226",226,"The Greenwood Commonwealth","Greenwood","MS"
"227",227,"The Hattiesburg American","Hattiesburg","MS"
"228",228,"The Clarion-Ledger","Jackson","MS"
"229",229,"Billings Gazette","Billings","MT"
"230",230,"Great Falls Tribune","Great Falls","MT"
"231",231,"Missoulian","Missoula","MT"
"232",232,"The Asheville Citizen-Times","Asheville","NC"
"233",233,"The Charlotte Observer","Charlotte","NC"
"234",234,"The Daily Advance","Elizabeth City","NC"
"235",235,"The Fayetteville Observer","Fayetteville","NC"
"236",236,"News & Record","Greensboro","NC"
"237",237,"The Daily Reflector","Greenville","NC"
"238",238,"The News & Observer","Raleigh","NC"
"239",239,"Rocky Mount Telegram","Rocky Mount","NC"
"240",240,"Morning Star","Wilmington","NC"
"241",241,"Winston-Salem Journal","Winston-Salem","NC"
"242",242,"The Bismarck Tribune","Bismarck","ND"
"243",243,"Grand Forks Herald","Grand Forks","ND"
"244",244,"Lincoln Journal Star","Lincoln","NE"
"245",245,"Omaha World-Herald","Omaha","NE"
"246",246,"York News-Times","York","NE"
"247",247,"Concord Monitor","Concord","NH"
"248",248,"The Union Leader","Manchester","NH"
"249",249,"The Telegraph","Nashua","NH"
"250",250,"Courier News","Bridgewater","NJ"
"251",251,"Courier-Post","Cherry Hill","NJ"
"252",252,"Home News Tribune","East Brunswick","NJ"
"253",253,"The Record","Hackensack","NJ"
"254",254,"The Jersey Journal","Jersey City","NJ"
"255",255,"Asbury Park Press","Neptune","NJ"
"256",256,"The Star-Ledger","Newark","NJ"
"257",257,"Ocean County Observer","Toms River","NJ"
"258",258,"The Daily Journal","Vineland","NJ"
"259",259,"Burlington County Times","Willingboro","NJ"
"260",260,"Alamogordo Daily News","Alamogordo","NM"
"261",261,"Albuquerque Journal","Albuquerque","NM"
"262",262,"The Albuquerque Tribune","Albuquerque","NM"
"263",263,"The Daily Times","Farmington","NM"
"264",264,"Las Cruces Sun-News","Las Cruces","NM"
"265",265,"The Santa Fe New Mexican","Santa Fe","NM"
"266",266,"Las Vegas Review-Journal","Las Vegas","NV"
"267",267,"Reno Gazette-Journal","Reno","NV"
"268",268,"Times Union","Albany","NY"
"269",269,"The Daily News","Batavia","NY"
"270",270,"Press & Sun-Bulletin","Binghamton","NY"
"271",271,"The Buffalo News","Buffalo","NY"
"272",272,"Star-Gazette","Elmira","NY"
"273",273,"The Ithaca Journal","Ithaca","NY"
"274",274,"Newsday","Long Island","NY"
"275",275,"Daily News","New York","NY"
"276",276,"New York Post","New York","NY"
"277",277,"The New York Times","New York","NY"
"278",278,"The Wall Street Journal","New York","NY"
"279",279,"Press-Republican","Plattsburgh","NY"
"280",280,"Poughkeepsie Journal","Poughkeepsie","NY"
"281",281,"Rochester Democrat and Chronicle","Rochester","NY"
"282",282,"The Daily Gazette","Schenectady","NY"
"283",283,"Staten Island Advance","Staten Island","NY"
"284",284,"The Post-Standard","Syracuse","NY"
"285",285,"Observer-Dispatch","Utica","NY"
"286",286,"Watertown Daily Times","Watertown","NY"
"287",287,"The Journal News","Westchester","NY"
"288",288,"Akron Beacon Journal","Akron","OH"
"289",289,"Telegraph-Forum","Bucyrus","OH"
"290",290,"Chillicothe Gazette","Chillicothe","OH"
"291",291,"The Cincinnati Enquirer","Cincinnati","OH"
"292",292,"The Cincinnati Post","Cincinnati","OH"
"293",293,"The Plain Dealer","Cleveland","OH"
"294",294,"The Columbus Dispatch","Columbus","OH"
"295",295,"Coshocton Tribune","Coshocton","OH"
"296",296,"Dayton Daily News","Dayton","OH"
"297",297,"The Courier","Findlay","OH"
"298",298,"The Review Times","Fostoria","OH"
"299",299,"The News-Messenger","Fremont","OH"
"300",300,"The Journal-News","Hamilton","OH"
"301",301,"Lancaster Eagle-Gazette","Lancaster","OH"
"302",302,"The Lima News","Lima","OH"
"303",303,"News Journal","Mansfield","OH"
"304",304,"The Marion Star","Marion","OH"
"305",305,"Middletown Journal","Middletown","OH"
"306",306,"The Advocate","Newark","OH"
"307",307,"News-Herald","Port Clinton","OH"
"308",308,"Springfield News-Sun","Springfield","OH"
"309",309,"The Blade","Toledo","OH"
"310",310,"Times Recorder","Zanesville","OH"
"311",311,"The Daily Ardmoreite","Ardmore","OK"
"312",312,"Muskogee Daily Phoenix & Times-Democrat","Muskogee","OK"
"313",313,"The Daily Oklahoman","Oklahoma City","OK"
"314",314,"Tulsa World","Tulsa","OK"
"315",315,"The World","Coos Bay","OR"
"316",316,"The Register-Guard","Eugene","OR"
"317",317,"Daily Journal of Commerce","Portland","OR"
"318",318,"The Oregonian","Portland","OR"
"319",319,"Statesman Journal","Salem","OR"
"320",320,"The Morning Call","Allentown","PA"
"321",321,"Public Opinion","Chambersburg","PA"
"322",322,"The Intelligencer Record","Doylestown","PA"
"323",323,"Erie Times-News","Erie","PA"
"324",324,"The Evening Sun","Hanover","PA"
"325",325,"The Patriot-News","Harrisburg","PA"
"326",326,"Standard-Speaker","Hazleton","PA"
"327",327,"Intelligencer Journal","Lancaster","PA"
"328",328,"Lebanon Daily News","Lebanon","PA"
"329",329,"Bucks County Courier Times","Levittown","PA"
"330",330,"New Castle News","New Castle","PA"
"331",331,"The Philadelphia Daily News","Philadelphia","PA"
"332",332,"The Philadelphia Inquirer","Philadelphia","PA"
"333",333,"Pittsburgh Post-Gazette","Pittsburgh","PA"
"334",334,"Centre Daily Times","State College","PA"
"335",335,"Observer-Reporter","Washington","PA"
"336",336,"Times Leader","Wilkes-Barre","PA"
"337",337,"The York Dispatch","York","PA"
"338",338,"York Daily Record","York","PA"
"339",339,"The Newport Daily News","Newport","RI"
"340",340,"The Providence Journal","Providence","RI"
"341",341,"The Westerly Sun","Westerly","RI"
"342",342,"Anderson Independent-Mail","Anderson","SC"
"343",343,"The Post and Courier","Charleston","SC"
"344",344,"The State","Columbia","SC"
"345",345,"The Greenville News","Greenville","SC"
"346",346,"The Sun News","Myrtle Beach","SC"
"347",347,"The Herald","Rock Hill","SC"
"348",348,"Herald-Journal","Spartanburg","SC"
"349",349,"Aberdeen American News","Aberdeen","SD"
"350",350,"Argus Leader","Sioux Falls","SD"
"351",351,"The Leaf-Chronicle","Clarksville","TN"
"352",352,"The Jackson Sun","Jackson","TN"
"353",353,"The Knoxville News-Sentinel","Knoxville","TN"
"354",354,"The Daily Times","Maryville","TN"
"355",355,"The Commercial Appeal","Memphis","TN"
"356",356,"The Tennessean","Nashville","TN"
"357",357,"The Oak Ridger","Oak Ridge","TN"
"358",358,"Abilene Reporter-News","Abilene","TX"
"359",359,"Amarillo Daily News","Amarillo","TX"
"360",360,"Austin American-Statesman","Austin","TX"
"361",361,"The Baytown Sun","Baytown","TX"
"362",362,"Beaumont Enterprise","Beaumont","TX"
"363",363,"The Eagle","Bryan","TX"
"364",364,"The Brazosport Facts","Clute","TX"
"365",365,"Corpus Christi Caller-Times","Corpus Christi","TX"
"366",366,"The Dallas Morning News","Dallas","TX"
"367",367,"Denton Record-Chronicle","Denton","TX"
"368",368,"El Paso Times","El Paso","TX"
"369",369,"Fort Worth Star-Telegram","Fort Worth","TX"
"370",370,"The Galveston County Daily News","Galveston","TX"
"371",371,"Houston Chronicle","Houston","TX"
"372",372,"Kerrville Daily Times","Kerrville","TX"
"373",373,"Longview News-Journal","Longview","TX"
"374",374,"Lubbock Avalanche-Journal","Lubbock","TX"
"375",375,"The Lufkin Daily News","Lufkin","TX"
"376",376,"Marshall News Messenger","Marshall","TX"
"377",377,"Midland Reporter-Telegram","Midland","TX"
"378",378,"The Daily Sentinel","Nacogdoches","TX"
"379",379,"Odessa American","Odessa","TX"
"380",380,"Plainview Daily Herald","Plainview","TX"
"381",381,"San Angelo Standard-Times","San Angelo","TX"
"382",382,"San Antonio Express-News","San Antonio","TX"
"383",383,"The Victoria Advocate","Victoria","TX"
"384",384,"Waco Tribune-Herald","Waco","TX"
"385",385,"Waxahachie Daily Light","Waxahachie","TX"
"386",386,"Wichita Falls Times Record News","Wichita Falls","TX"
"387",387,"The Herald Journal","Logan","UT"
"388",388,"Standard-Examiner","Ogden","UT"
"389",389,"The Deseret News","Salt Lake City","UT"
"390",390,"The Salt Lake Tribune","Salt Lake City","UT"
"391",391,"The Spectrum","St. George","UT"
"392",392,"USA TODAY","Arlington","VA"
"393",393,"The Free Lance-Star","Fredericksburg","VA"
"394",394,"Daily News-Record","Harrisonburg","VA"
"395",395,"The Virginian-Pilot","Norfolk","VA"
"396",396,"Richmond Times-Dispatch","Richmond","VA"
"397",397,"The Roanoke Times","Roanoke","VA"
"398",398,"The Daily News Leader","Staunton","VA"
"399",399,"The Times Argus","Barre","VT"
"400",400,"Bennington Banner","Bennington","VT"
"401",401,"Brattleboro Reformer","Brattleboro","VT"
"402",402,"The Burlington Free Press","Burlington","VT"
"403",403,"Rutland Herald","Rutland","VT"
"404",404,"Valley News","White River Jct.","VT"
"405",405,"The Bellingham Herald","Bellingham","WA"
"406",406,"The Chronicle","Centralia","WA"
"407",407,"The Herald","Everett","WA"
"408",408,"The Olympian","Olympia","WA"
"409",409,"Seattle Post-Intelligencer","Seattle","WA"
"410",410,"The Seattle Times","Seattle","WA"
"411",411,"The Spokesman-Review","Spokane","WA"
"412",412,"The News Tribune","Tacoma","WA"
"413",413,"The Columbian","Vancouver","WA"
"414",414,"Yakima Herald-Republic","Yakima","WA"
"415",415,"The Post-Crescent","Appleton","WI"
"416",416,"The Reporter","Fond du Lac","WI"
"417",417,"Green Bay Press-Gazette","Green Bay","WI"
"418",418,"La Crosse Tribune","La Crosse","WI"
"419",419,"The Capital Times","Madison","WI"
"420",420,"Wisconsin State Journal","Madison","WI"
"421",421,"Herald Times Reporter","Manitowoc","WI"
"422",422,"Marshfield News-Herald","Marshfield","WI"
"423",423,"Milwaukee Journal Sentinel","Milwaukee","WI"
"424",424,"Oshkosh Northwestern","Oshkosh","WI"
"425",425,"The Daily News","Rhinelander","WI"
"426",426,"The Sheboygan Press","Sheboygan","WI"
"427",427,"Stevens Point Journal","Stevens Point","WI"
"428",428,"Waukesha County Freeman","Waukesha","WI"
"429",429,"The Wausau Daily Herald","Wausau","WI"
"430",430,"The Daily News","West Bend","WI"
"431",431,"Charleston Daily Mail","Charleston","WV"
"432",432,"Charleston Gazette","Charleston","WV"
"433",433,"The Herald-Dispatch","Huntington","WV"
"434",434,"Wyoming Tribune-Eagle","Cheyenne","WY"
