"","ID","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance.mi.","Description","Number","Street","Side","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature.F.","Wind_Chill.F.","Humidity...","Pressure.in.","Visibility.mi.","Wind_Direction","Wind_Speed.mph.","Precipitation.in.","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"38392","A-38392",2,"2016-12-20 17:59:26","2016-12-20 23:59:26",43.05166,-76.1369,43.05265,-76.1499,0.66,"At I-81 - Accident.",NA,"I-690 W","R","Syracuse","Onondaga","NY","13203","US","US/Eastern","KSYR","2016-12-20 17:54:00",30.9,22.2,46,30.07,10,"SSW",10.4,NA,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"38900","A-38900",2,"2016-12-22 08:08:33","2016-12-22 14:08:33",43.05417,-76.15561,43.051101,-76.146725,0.496,"Between Genesee St/West St/Exit 11/Exit 12 and I-81 - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13202","US","US/Eastern","KSYR","2016-12-22 07:54:00",33.8,25.8,87,29.9,10,"SW",10.4,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"39789","A-39789",2,"2016-12-27 07:36:16","2016-12-27 13:36:16",43.072103,-76.207368,43.06294,-76.19224,0.992,"Between Solvay/Exit 7 and Willis Ave - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13209","US","US/Eastern","KSYR","2016-12-27 07:54:00",42.8,33.8,61,29.77,10,"West",21.9,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"39967","A-39967",2,"2016-12-27 17:08:30","2016-12-27 23:08:30",43.05166,-76.1369,43.05265,-76.1499,0.66,"At I-81 - Accident.",NA,"I-690 W","R","Syracuse","Onondaga","NY","13203","US","US/Eastern","KSYR","2016-12-27 16:54:00",34,26,70,29.93,10,"WNW",10.4,NA,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Day","Day","Day"
"39975","A-39975",3,"2016-12-27 17:42:44","2016-12-27 23:42:44",43.06138,-76.15669,43.05878,-76.15455,0.21,"At Spencer St - Accident.",NA,"I-81 S","R","Syracuse","Onondaga","NY","13204","US","US/Eastern","KSYR","2016-12-27 17:54:00",33.1,24.4,75,29.94,10,"WNW",11.5,0,"Light Drizzle","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Day","Day"
"40632","A-40632",3,"2016-12-29 22:04:44","2016-12-30 04:04:44",43.06261,-76.15814,43.06333,-76.15881,0.06,"At Court St/NB Exit 22/SB Exit 21 - Accident.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13208","US","US/Eastern","KSYR","2016-12-29 22:10:00",32,23,88,29.5,9,"WSW",11.5,0,"Scattered Clouds","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"40919","A-40919",2,"2016-12-30 19:37:01","2016-12-31 01:37:01",43.05757,-76.1538,43.05913,-76.15458,0.115,"At Butternut St/Exit 20 - Accident.",NA,"I-81 S","R","Syracuse","Onondaga","NY","13208","US","US/Eastern","KSYR","2016-12-30 19:54:00",27,19.5,96,29.84,1.5,"West",6.9,0.02,"Light Snow","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"40927","A-40927",2,"2016-12-30 20:06:47","2016-12-31 02:06:47",43.03745,-76.05634,43.02999,-76.06225,0.596,"At RT-5/RT-92/Exit 3 - Accident.",NA,"I-481 S","R","Syracuse","Onondaga","NY","13214","US","US/Eastern","KSYR","2016-12-30 20:08:00",27,14.7,96,29.84,0.8,"West",16.1,0.01,"Light Snow","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"41425","A-41425",2,"2017-01-03 17:19:04","2017-01-03 23:19:04",43.05815,-76.18181,43.07247,-76.20768,1.638,"Between Hiawatha Blvd/Exit 8 and Solvay/Exit 7 - Accident.",NA,"Hiawatha Blvd W","R","Syracuse","Onondaga","NY","13204","US","US/Eastern","KSYR","2017-01-03 17:11:00",35.1,27.4,100,29.63,8,"ENE",10.4,0.01,"Light Rain","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Day","Day"
"41426","A-41426",2,"2017-01-03 17:17:47","2017-01-03 23:17:47",43.05429,-76.15199,43.05628,-76.15342,0.155,"At Clinton St/Salina St/Exit 19 - Accident.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13203","US","US/Eastern","KSYR","2017-01-03 17:11:00",35.1,27.4,100,29.63,8,"ENE",10.4,0.01,"Light Rain","False","False","False","False","False","False","False","False","False","True","False","False","False","Night","Night","Day","Day"
"41610","A-41610",2,"2017-01-04 17:36:55","2017-01-04 23:36:55",43.07471,-76.17087,43.0749,-76.1712,0.021,"At I-81 - Accident.",1," NBT Bank Pkwy","R","Syracuse","Onondaga","NY","13208","US","US/Eastern","KSYR","2017-01-04 17:20:00",27,12.5,75,29.57,7,"West",23,0,"Light Snow","False","False","False","False","False","False","False","False","False","False","False","True","False","Night","Night","Day","Day"
"41637","A-41637",2,"2017-01-04 18:34:43","2017-01-05 00:34:43",43.09239,-76.16462,43.08901,-76.1676,0.278,"At 7th North St/Exit 25 - Accident.",NA,"I-81 S","R","Syracuse","Onondaga","NY","13212","US","US/Eastern","KSYR","2017-01-04 18:54:00",25,7.6,58,29.63,10,"West",32.2,0,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"42032","A-42032",2,"2017-01-05 19:16:26","2017-01-06 01:16:26",43.05526,-76.16285,43.05146,-76.13657,1.353,"Between Genesee St/West St/Exit 11/Exit 12 and I-81 - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13204","US","US/Eastern","KSYR","2017-01-05 19:32:00",21,16.2,96,29.88,2,"SW",3.5,0,"Light Snow","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"42033","A-42033",2,"2017-01-05 19:16:26","2017-01-06 01:16:26",43.07829,-76.17245,43.09248,-76.16423,1.065,"Between Exit 22/Exit 23 and 7th North St/Exit 25 - Accident.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13208","US","US/Eastern","KSYR","2017-01-05 19:32:00",21,16.2,96,29.88,2,"SW",3.5,0,"Light Snow","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"42953","A-42953",2,"2017-01-09 15:44:05","2017-01-09 21:44:05",43.04273,-76.14257,43.0397,-76.14233,0.21,"At Adams St/Exit 18 - Accident.",677," E Adams St","L","Syracuse","Onondaga","NY","13202","US","US/Eastern","KSYR","2017-01-09 15:54:00",21,9.9,60,30.45,10,"SE",10.4,0,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"42982","A-42982",2,"2017-01-09 17:16:47","2017-01-09 23:16:47",43.09328,-76.1635,43.097364,-76.159507,0.347,"At I-90/Thruway/Exit 25 - Accident.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13212","US","US/Eastern","KSYR","2017-01-09 16:54:00",21.9,13.4,53,30.45,10,"South",6.9,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Day","Day","Day"
"43371","A-43371",2,"2017-01-10 15:48:54","2017-01-10 21:48:54",43.00344,-76.13372,43.00893,-76.1353,0.388,"At I-481/Exit 16 - Accident.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13205","US","US/Eastern","KSYR","2017-01-10 15:49:00",28.4,18,86,30.09,4,"ESE",12.7,0.06,"Light Freezing Rain","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"43391","A-43391",3,"2017-01-10 16:31:02","2017-01-10 22:31:02",43.03418,-76.06295,43.03235,-76.05545,0.399,"At I-481 - Accident.",4703," E Genesee St","L","Syracuse","Onondaga","NY","13214","US","US/Eastern","KSYR","2017-01-10 16:35:00",30,16.9,79,30.04,5,"SE",21.9,0.04,"Light Freezing Rain","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"43393","A-43393",2,"2017-01-10 16:38:47","2017-01-10 22:38:47",43.1218,-76.12601,43.12692,-76.12119,0.429,"At Taft Rd/Exit 28 - Accident.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13212","US","US/Eastern","KSYR","2017-01-10 16:35:00",30,16.9,79,30.04,5,"SE",21.9,0.04,"Light Freezing Rain","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"43719","A-43719",2,"2017-01-11 14:27:15","2017-01-11 20:27:15",43.05232,-76.1252,43.0542,-76.11806,0.383,"At Teall Ave/Exit 14 - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13210","US","US/Eastern","KSYR","2017-01-11 14:54:00",46.9,NA,48,30.1,10,"SSE",12.7,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"45993","A-45993",2,"2017-01-20 08:54:21","2017-01-20 14:54:21",43.1061,-76.15135,43.11181,-76.1454,0.496,"At US-11/Exit 26 - Accident.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13212","US","US/Eastern","KSYR","2017-01-20 08:54:00",35.1,27.4,89,29.91,10,"East",10.4,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"47546","A-47546",3,"2017-01-26 08:43:44","2017-01-26 14:43:44",43.01338,-76.13839,43.0196,-76.14033,0.441,"At State St/Exit 17 - Accident.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13210","US","US/Eastern","KSYR","2017-01-26 08:54:00",41,33.5,73,29.37,10,"WSW",13.8,NA,"Mostly Cloudy","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"47988","A-47988",2,"2016-10-21 10:04:35","2016-10-21 16:04:35",43.07383,-76.17072,43.06893,-76.16766,0.372,"At RT-370/Park St/Exit 23/Exit 24 - Accident.",NA,"I-81 S","R","Syracuse","Onondaga","NY","13204","US","US/Eastern","KSYR","2016-10-21 10:11:00",50,NA,100,29.75,4,"NW",5.8,0.02,"Rain","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"48268","A-48268",4,"2016-10-22 08:27:14","2016-10-22 14:27:14",43.00788,-76.13072,43.0077,-76.13209,0.07,"Ramp closed to I-81 Northbound - Road closed due to accident.",NA,"I-481 S","R","Syracuse","Onondaga","NY","13205","US","US/Eastern","KSYR","2016-10-22 08:16:00",42.1,37.1,100,29.61,2,"NW",8.1,0.03,"Rain","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"48269","A-48269",4,"2016-10-22 08:27:14","2016-10-22 14:27:14",43.0077,-76.13209,43.00893,-76.1353,0.183,"Ramp closed to I-481/Exit 16 - Road closed due to accident.",711," E Brighton Ave","L","Syracuse","Onondaga","NY","13205","US","US/Eastern","KSYR","2016-10-22 08:16:00",42.1,37.1,100,29.61,2,"NW",8.1,0.03,"Rain","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"48270","A-48270",4,"2016-10-22 08:28:38","2016-10-22 14:28:38",43.00788,-76.13072,43.00788,-76.13072,0,"Closed at I-481 - Road closed due to accident.",NA,"I-481 S","R","Syracuse","Onondaga","NY","13205","US","US/Eastern","KSYR","2016-10-22 08:16:00",42.1,37.1,100,29.61,2,"NW",8.1,0.03,"Rain","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"48272","A-48272",4,"2016-10-22 08:35:55","2016-10-22 14:36:37",43.00701,-76.13029,43.007059,-76.130105,0.01,"Closed at I-81 - Road closed due to accident.",NA,"I-481 N","R","Syracuse","Onondaga","NY","13205","US","US/Eastern","KSYR","2016-10-22 08:48:00",42.8,36.6,100,29.59,2,"NW",11.5,0.05,"Light Rain","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"48863","A-48863",2,"2016-10-25 08:09:52","2016-10-25 14:09:52",43.05166,-76.1369,43.05265,-76.1499,0.66,"At I-81 - Accident.",NA,"I-690 W","R","Syracuse","Onondaga","NY","13203","US","US/Eastern","KSYR","2016-10-25 07:54:00",41,33.9,65,30.21,10,"NW",12.7,0,"Mostly Cloudy","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"49065","A-49065",2,"2016-10-25 16:29:18","2016-10-25 22:29:18",43.05126,-76.1488,43.05146,-76.13657,0.618,"At I-81 - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13202","US","US/Eastern","KSYR","2016-10-25 16:54:00",41,32.8,55,30.29,10,"WNW",16.1,NA,"Mostly Cloudy","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"49201","A-49201",4,"2016-10-26 00:53:00","2016-10-26 06:53:00",43.05879,-76.09929,43.05278,-76.12422,1.325,"Closed between Midler Ave/Exit 15 and Teall Ave/Exit 14 - Road closed due to accident.",NA,"I-690 W","R","Syracuse","Onondaga","NY","13224","US","US/Eastern","KSYR","2016-10-26 00:54:00",39.9,34.5,60,30.37,10,"WNW",8.1,NA,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"49434","A-49434",2,"2016-10-26 14:55:13","2016-10-26 20:55:13",43.06486,-76.1958,43.06294,-76.19224,0.223,"At Willis Ave - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13209","US","US/Eastern","KSYR","2016-10-26 14:54:00",39.9,33.9,58,30.47,10,"NW",9.2,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"50822","A-50822",2,"2016-11-02 08:12:35","2016-11-02 14:12:35",43.0769,-76.21503,43.07324,-76.20966,0.371,"At RT-297/Exit 6/Exit 7 - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13209","US","US/Eastern","KSYR","2016-11-02 07:54:00",50,NA,89,30.14,10,"ENE",3.5,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"51526","A-51526",2,"2016-11-04 08:13:59","2016-11-04 14:13:59",43.0512,-76.15895,43.05041,-76.15911,0.055,"At Erie Blvd W - Accident.",NA,"N West St","R","Syracuse","Onondaga","NY","13202","US","US/Eastern","KSYR","2016-11-04 07:54:00",41,38,86,30.22,10,"North",4.6,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"51695","A-51695",2,"2016-11-04 15:14:45","2016-11-04 21:14:45",43.05232,-76.1252,43.0542,-76.11806,0.383,"At Teall Ave/Exit 14 - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13210","US","US/Eastern","KSYR","2016-11-04 14:54:00",48,NA,52,30.24,10,"West",12.7,NA,"Scattered Clouds","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"52167","A-52167",3,"2016-11-07 08:43:01","2016-11-07 14:43:01",43.05741,-76.1805,43.05593,-76.17364,0.361,"At RT-298/Bear St/Exit 9 - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13204","US","US/Eastern","KSYR","2016-11-07 08:54:00",37,NA,82,30.5,10,"Calm",NA,NA,"Partly Cloudy","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"52745","A-52745",3,"2016-11-08 17:17:49","2016-11-08 23:17:49",43.13733,-76.1169,43.14751,-76.10979,0.789,"At RT-481/Exit 29 - Accident.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13212","US","US/Eastern","KSYR","2016-11-08 16:54:00",55,NA,67,29.97,10,"Calm",NA,NA,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Day","Day"
"53144","A-53144",2,"2016-11-09 17:55:11","2016-11-09 23:55:11",43.09511,-76.16947,43.09319,-76.08543,4.242,"Between I-81/Exit 36 and Thompson Rd/Exit 35 - Accident.",NA,"I-90 E","R","Syracuse","Onondaga","NY","13212","US","US/Eastern","KSYR","2016-11-09 17:54:00",43,38.2,71,30.03,10,"NW",8.1,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"53147","A-53147",2,"2016-11-09 17:53:48","2016-11-09 23:53:48",43.13733,-76.1169,43.14751,-76.10979,0.789,"At RT-481/Exit 29 - Accident.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13212","US","US/Eastern","KSYR","2016-11-09 17:54:00",43,38.2,71,30.03,10,"NW",8.1,NA,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"53288","A-53288",2,"2016-11-10 08:18:28","2016-11-10 14:18:28",43.05166,-76.1369,43.05265,-76.1499,0.66,"At I-81 - Accident.",NA,"I-690 W","R","Syracuse","Onondaga","NY","13203","US","US/Eastern","KSYR","2016-11-10 07:54:00",37,29.8,86,30.04,10,"WSW",10.4,NA,"Mostly Cloudy","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"53438","A-53438",2,"2016-11-10 15:33:58","2016-11-10 21:33:58",43.05624,-76.15355,43.05423,-76.15205,0.158,"At Clinton St/Salina St/Exit 19 - Accident.",NA,"Butternut St","R","Syracuse","Onondaga","NY","13204","US","US/Eastern","KSYR","2016-11-10 15:54:00",55.9,NA,51,29.73,10,"SW",12.7,NA,"Scattered Clouds","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"53806","A-53806",2,"2016-11-11 17:52:47","2016-11-11 23:52:47",43.06326,-76.15896,43.06259,-76.15835,0.056,"At Court St/NB Exit 22/SB Exit 21 - Accident.",NA,"I-81 S","R","Syracuse","Onondaga","NY","13204","US","US/Eastern","KSYR","2016-11-11 17:54:00",39.9,32.1,47,30.13,10,"NW",13.8,NA,"Mostly Cloudy","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"54038","A-54038",4,"2016-11-13 15:07:34","2016-11-13 21:07:34",43.111734,-76.285982,43.11161,-76.26492,1.062,"Closed between I-90/Thruway/Exit 1 and John Glenn Blvd/Exit 4 - Road closed due to accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13209","US","US/Eastern","KSYR","2016-11-13 14:54:00",55.9,NA,42,29.99,10,"WSW",13.8,NA,"Clear","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"54388","A-54388",2,"2016-11-14 19:15:03","2016-11-15 01:15:03",43.09716,-76.16002,43.09337,-76.1637,0.321,"At I-90/Thruway/Exit 25 - Accident.",NA,"I-81 S","R","Syracuse","Onondaga","NY","13212","US","US/Eastern","KSYR","2016-11-14 18:54:00",46,43.9,61,29.96,10,"East",4.6,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"54427","A-54427",2,"2016-11-14 21:31:53","2016-11-15 05:48:43",43.09716,-76.16002,43.09337,-76.1637,0.321,"At I-90/Thruway/Exit 25 - Accident.",NA,"I-81 S","R","Syracuse","Onondaga","NY","13212","US","US/Eastern","KSYR","2016-11-14 21:54:00",37.9,35.5,76,29.96,10,"East",3.5,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"54600","A-54600",3,"2016-11-15 12:00:23","2016-11-15 18:00:23",43.05676,-76.1086,43.0575,-76.10502,0.188,"At Midler Ave/Exit 15 - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13206","US","US/Eastern","KSYR","2016-11-15 11:54:00",48.9,NA,50,29.91,10,"West",3.5,NA,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"55879","A-55879",2,"2016-11-18 17:56:40","2016-11-18 23:56:40",43.05232,-76.1252,43.0542,-76.11806,0.383,"At Teall Ave/Exit 14 - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13210","US","US/Eastern","KSYR","2016-11-18 17:54:00",53.1,NA,64,30.01,10,"East",4.6,NA,"Scattered Clouds","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
